"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.091470360E0,-4.231089354E-2,-4.584528506E-4,-5.697574615E-1,5.713265151E-1
2.101480294E0,-4.941682890E-2,2.564763650E-2,-7.325639725E-1,7.346766622E-1
2.111488305E0,-2.814132348E-2,3.057779931E-2,-6.846790314E-1,6.859390001E-1
2.121469469E0,-4.991063103E-2,-1.704189740E-2,-5.099010468E-1,5.126212782E-1
2.131477250E0,-5.258845910E-2,4.206009209E-3,-6.080636978E-1,6.103480131E-1
2.141487413E0,-6.493961066E-2,3.957314789E-2,-6.751012802E-1,6.793709779E-1
2.151467117E0,-7.964271307E-2,3.468519822E-2,-3.686418533E-1,3.787384860E-1
2.161478512E0,-7.010573894E-2,-1.123908907E-2,-4.380750656E-1,4.437914993E-1
2.171488292E0,-4.652065784E-2,-6.974698976E-3,-3.901910782E-1,3.930164062E-1
2.181467687E0,-9.911041707E-2,1.687996835E-2,-3.039999008E-1,3.201932976E-1
2.191475083E0,-1.036362052E-1,1.924530417E-2,-4.093456268E-1,4.226992867E-1
2.201486785E0,-8.158007264E-2,-1.884441264E-2,-3.063955307E-1,3.176297237E-1
2.211465335E0,-1.047824323E-1,-9.268598631E-3,-2.752733231E-1,2.946874063E-1
2.221475423E0,-7.328850031E-2,-6.587818265E-3,-1.627464294E-1,1.786085214E-1
2.231483125E0,-8.004258573E-2,1.038289815E-2,-5.740261078E-2,9.904382782E-2
2.241495444E0,-6.518878788E-2,-3.958698362E-3,-2.513341904E-1,2.596808129E-1
2.251473377E0,-3.652802482E-2,1.997083053E-2,-2.130270004E-1,2.170567520E-1
2.261483234E0,-3.190414235E-2,-1.155056059E-3,-6.697940826E-2,7.419871687E-2
2.271492168E0,-3.922794759E-2,-1.313977316E-2,-2.297840118E-1,2.334784307E-1
2.281473947E0,-1.324481238E-2,3.760229796E-3,-1.364088058E-1,1.371018844E-1
2.291481035E0,1.032685302E-2,3.010310791E-2,-9.570693970E-2,1.008596020E-1
2.301493969E0,4.911979660E-3,-1.072293706E-2,-2.896356583E-1,2.898757035E-1
2.311471903E0,-3.888928518E-2,-1.785235852E-2,-3.135747910E-1,3.164810148E-1
2.321481683E0,-5.622917414E-2,4.002760351E-2,-4.021577835E-1,4.080377579E-1
2.331489077E0,-3.085143119E-2,6.719666533E-3,-1.411867142E-1,1.446742997E-1
2.341470704E0,-4.330759868E-2,-7.470134646E-3,-1.579437256E-1,1.639438058E-1
2.351478023E0,-3.695389256E-2,-5.557187647E-2,-3.758144379E-1,3.816940075E-1
2.361490725E0,-5.918175355E-2,-1.481219009E-2,-1.986408234E-1,2.077981175E-1
2.371468197E0,-9.304130822E-2,-2.881873585E-2,-1.907348633E-2,9.925221636E-2
2.381477516E0,-5.739897490E-2,-4.334590584E-2,-3.822708130E-2,8.145440207E-2
2.391487680E0,-3.627790883E-2,-3.619939089E-2,-3.104305267E-2,5.991789123E-2
2.401468845E0,-8.659355342E-2,3.094364330E-2,-1.363878250E-1,1.644919188E-1
2.411477241E0,-6.522636116E-2,2.656438947E-2,-5.258846283E-2,8.789591231E-2
2.421488943E0,-4.406509548E-2,2.861706540E-3,-8.610630035E-2,9.676888428E-2
2.431466185E0,-3.255750611E-2,1.951504499E-2,1.205825806E-2,3.982750021E-2
2.441477887E0,-4.959708452E-2,1.475904137E-2,1.221923828E-1,1.326976960E-1
2.451485821E0,-3.817389533E-2,1.961122826E-2,-1.986293793E-1,2.032128856E-1
2.461465217E0,-3.156761453E-2,1.014522649E-2,-1.914434433E-1,1.942936743E-1
2.471472996E0,-4.869577289E-2,2.454781719E-2,1.685428619E-2,5.707837234E-2
2.481485315E0,-6.115639210E-2,9.902719408E-3,-1.426982880E-2,6.357512218E-2
2.491463480E0,-9.020365775E-2,-1.626977138E-2,-1.483440399E-1,1.743770613E-1
2.501472643E0,-1.071526483E-1,2.923054993E-2,-1.244010925E-1,1.667685429E-1
2.511483193E0,-8.337373286E-2,4.380600899E-2,1.269922256E-1,1.581049371E-1
2.521494588E0,-1.002461165E-1,-1.900824346E-2,1.126251221E-1,1.519704423E-1
2.531470291E0,-7.166969776E-2,-4.097970203E-2,-4.299831390E-2,9.308456668E-2
2.541481379E0,-7.890237123E-2,3.811571375E-2,7.671165466E-2,1.164605933E-1
2.551491773E0,-8.362695575E-2,5.048589781E-3,8.150100708E-2,1.168818640E-1
2.561472092E0,-3.831272200E-2,-2.619452961E-2,7.192516327E-2,8.559934088E-2
2.571481103E0,-9.365171194E-2,2.365646884E-3,1.389627457E-1,1.675914202E-1
2.581491806E0,-9.599228203E-2,1.674275845E-2,6.474304199E-2,1.169893143E-1
2.591468201E0,-4.855649173E-2,4.991654307E-3,5.516910553E-2,7.366328602E-2
2.601480751E0,-2.949068882E-2,2.428635024E-2,4.319763184E-2,5.766769400E-2
2.611488530E0,-3.923429549E-2,2.409902215E-2,8.629322052E-2,9.780906256E-2
2.621469156E0,-1.448344439E-3,3.576362506E-2,1.796693802E-1,1.831999475E-1
2.631477397E0,-5.921068788E-2,-2.527950332E-3,-1.986141205E-1,2.072676167E-1
2.641488870E0,-5.719175935E-2,-1.201196387E-2,-1.124210358E-1,1.267030935E-1
2.651466342E0,-5.080644041E-3,3.136855364E-2,2.084054947E-1,2.108142531E-1
2.661480506E0,-1.512296498E-2,-2.129092440E-2,8.869743347E-2,9.246211244E-2
2.671486133E0,-4.201677814E-2,-1.220277511E-2,-7.171344757E-2,8.400676120E-2
2.681467913E0,-8.799356222E-2,3.598054871E-2,-6.931686401E-2,1.176532809E-1
2.691475615E0,-8.119897544E-2,3.856776655E-2,2.166652679E-2,9.246720831E-2
2.701487011E0,-5.988674611E-2,-3.305238485E-2,8.391666412E-2,1.082630547E-1
2.711464559E0,-4.097180068E-2,-4.989440367E-2,1.365900040E-1,1.510793472E-1
2.721475724E0,-6.291094422E-2,-1.420612819E-2,2.155990601E-1,2.250390092E-1
2.731486504E0,-8.494669199E-2,-4.587657750E-3,-7.059097290E-3,8.536286041E-2
2.741466822E0,-6.348371506E-2,-6.726158783E-3,-8.846092224E-2,1.090905956E-1
2.751473295E0,-3.991968930E-2,-1.746168360E-3,2.682771683E-1,2.712365567E-1
2.761484690E0,-6.903243065E-2,-4.418967292E-3,2.371540070E-1,2.470364887E-1
2.771493239E0,-8.130669594E-2,2.533908933E-3,7.674312592E-2,1.118333889E-1
2.781473557E0,-1.101802513E-1,3.628273681E-2,5.040931702E-2,1.264801329E-1
2.791482569E0,-6.740110368E-2,2.216499671E-2,1.892747879E-1,2.021364420E-1
2.801494809E0,-7.027260959E-2,2.664895728E-2,1.653337479E-1,1.816140269E-1
2.811471513E0,-6.360715628E-2,-1.197946444E-2,3.365421295E-2,7.295192902E-2
2.821482292E0,-9.019146860E-2,9.603869170E-3,1.868839264E-1,2.077314065E-1
2.831489918E0,-1.118109077E-1,4.817625508E-2,2.060384750E-1,2.393208805E-1
2.841472468E0,-9.520728886E-2,-1.890765876E-2,8.154106140E-2,1.267709435E-1
2.851480093E0,-1.237448752E-1,-2.368508838E-2,1.988563538E-1,2.354094879E-1
2.861489720E0,-1.260076761E-1,3.564795852E-2,2.850456238E-1,3.136872950E-1
2.871467884E0,-1.351660937E-1,7.109790295E-2,1.006898880E-1,1.829295991E-1
2.881479587E0,-6.998854876E-2,-7.741602138E-3,4.322624207E-2,8.262467769E-2
2.891487829E0,-7.654204965E-3,-2.926825359E-2,2.060317993E-1,2.082410139E-1
2.901469454E0,-4.126824811E-2,-2.988571301E-3,2.706756592E-1,2.738198538E-1
2.911478311E0,-4.828740284E-2,3.739188612E-2,-6.690883636E-2,9.059039024E-2
2.921489784E0,-2.911720984E-2,2.320681140E-2,-7.887935638E-2,8.722568926E-2
2.931465794E0,-7.697956264E-2,1.883653365E-2,1.102638245E-1,1.357894659E-1
2.941478420E0,-3.891370818E-2,3.084504791E-2,2.323694229E-1,2.376157452E-1
2.951486047E0,-1.986912638E-2,1.465724781E-3,8.392810822E-2,8.626040738E-2
